SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
0ML1259F31N0010,18201368,7024778477,2017-01-24,RMA-01222655,Monitor,ASP Stock,,Part shortage
HGEPB3TQ,ZA0S0072UA,7024589556,2016-12-21,RMA-01215040,MBG Tablet,ASP Stock,,Part shortage
