SN,MTM,Lenovo SO,Lenovo SO create date (yyyy-mm-dd),Partner SO/RMA number,Product group,Future unit location,Estimated cost(POP price),Refund reason
HGEPB3NW,ZA0S0072UA,7024608483,2016-12-22,RMA-01215608 ,MBG Tablet,ASP Stock,,Part shortage
pf0n4y5h,80TV00RWRA,7024586738,2016-12-20,RMA-01214974,Lenovo - former Idea - notebooks,ASP Stock,,Part shortage
HGABA4TS,ZA0K0016UA,7024600460,2016-12-21,RMA-01215346,MBG Tablet,ASP Stock,,Part shortage
